iter	Passed	Remaining
441	1289	1627
442	1292	1624
443	1295	1622
444	1297	1618
445	1300	1615
446	1303	1613
447	1306	1610
448	1309	1607
449	1312	1604
450	1315	1601
451	1318	1598
452	1321	1595
453	1323	1592
454	1326	1589
455	1329	1586
456	1332	1583
457	1335	1580
458	1338	1577
459	1341	1575
460	1344	1571
461	1347	1569
462	1350	1565
463	1353	1563
464	1356	1560
465	1359	1557
466	1362	1554
467	1365	1551
468	1368	1549
469	1371	1546
470	1374	1543
471	1377	1540
472	1380	1537
473	1383	1535
474	1386	1532
475	1389	1529
476	1392	1526
477	1395	1523
478	1398	1521
479	1401	1518
480	1404	1515
481	1407	1512
482	1410	1509
483	1413	1506
484	1415	1503
485	1418	1500
486	1421	1497
487	1424	1494
488	1427	1492
489	1431	1489
490	1433	1486
491	1436	1483
492	1439	1480
493	1442	1477
494	1445	1474
495	1447	1471
496	1450	1468
497	1453	1465
498	1457	1463
499	1460	1460
500	1463	1457
501	1466	1455
502	1470	1452
503	1473	1449
504	1476	1447
505	1479	1444
506	1481	1441
507	1484	1437
508	1487	1434
509	1490	1432
510	1493	1429
511	1496	1426
512	1499	1423
513	1502	1420
514	1505	1417
515	1508	1414
516	1511	1411
517	1513	1408
518	1516	1405
519	1519	1402
520	1522	1400
521	1526	1397
522	1529	1395
523	1533	1392
524	1536	1390
525	1539	1387
526	1542	1384
527	1545	1381
528	1548	1378
529	1552	1376
530	1555	1373
531	1558	1371
532	1561	1368
533	1564	1365
534	1566	1361
535	1569	1358
536	1572	1355
537	1575	1352
538	1578	1349
539	1581	1346
540	1584	1344
541	1586	1341
542	1589	1338
543	1592	1335
544	1595	1331
545	1598	1329
546	1600	1325
547	1603	1322
548	1606	1319
549	1609	1317
550	1613	1314
551	1616	1311
552	1619	1308
553	1622	1305
554	1625	1303
555	1628	1300
556	1630	1297
557	1633	1293
558	1636	1291
559	1639	1287
560	1641	1284
561	1644	1281
562	1647	1279
563	1650	1276
564	1653	1273
565	1656	1270
566	1659	1267
567	1662	1264
568	1665	1261
569	1668	1258
570	1671	1255
571	1674	1253
572	1677	1250
573	1680	1246
574	1683	1244
575	1686	1241
576	1689	1238
577	1691	1235
578	1694	1232
579	1697	1229
580	1701	1226
581	1704	1223
582	1707	1221
583	1709	1218
584	1713	1215
585	1715	1212
586	1718	1209
587	1721	1206
588	1724	1203
589	1727	1200
590	1730	1197
591	1733	1194
592	1735	1191
593	1738	1188
594	1741	1185
595	1744	1182
596	1747	1179
597	1750	1176
598	1753	1173
599	1755	1170
600	1759	1167
601	1761	1164
602	1764	1162
603	1768	1159
604	1771	1156
605	1774	1153
606	1776	1150
