iter	RMSE
0	0.3842277356
1	0.374726093
2	0.3657734907
3	0.3566853896
4	0.3487532273
5	0.3404053627
6	0.3330880508
7	0.3254079229
8	0.3179625732
9	0.3110035795
10	0.3038584269
11	0.2974196596
12	0.2908897017
13	0.2848145386
14	0.2791190972
15	0.2741980519
16	0.2686375185
17	0.2636685606
18	0.2585943674
19	0.2531747203
20	0.2487419951
21	0.243983777
22	0.2400169175
23	0.2357135169
24	0.2316602632
25	0.2274999358
26	0.2237677411
27	0.2201390515
28	0.216220408
29	0.2127289884
30	0.2093790059
31	0.2063977239
32	0.2036840819
33	0.2006313076
34	0.1983060581
35	0.1956493588
36	0.1930319258
37	0.190889633
38	0.1886898881
39	0.1861656003
40	0.1839124481
41	0.1815507403
42	0.1797918008
43	0.1775018236
44	0.1753020915
45	0.1732996797
46	0.1717425858
47	0.1699703648
48	0.1682465658
49	0.1666359441
50	0.1648827549
51	0.1633206161
52	0.1617820027
53	0.1605281147
54	0.1589283509
55	0.1572618269
56	0.1558566604
57	0.1544885305
58	0.1531028487
59	0.1517920048
60	0.1505568136
61	0.149416071
62	0.14836804
63	0.1472513454
64	0.1464873531
65	0.1455422862
66	0.1444720378
67	0.1434987385
68	0.1426010342
69	0.1417485526
70	0.1409066778
71	0.1400577251
72	0.1392129756
73	0.1382574691
74	0.1376213152
75	0.1367726514
76	0.1360646401
77	0.1352135665
78	0.1345363355
79	0.133814454
80	0.1330618808
81	0.1324092403
82	0.1316750636
83	0.1309112541
84	0.1301980911
85	0.1295971645
86	0.1289793998
87	0.1282798931
88	0.1276458168
89	0.1270574633
90	0.1263363931
91	0.1256536213
92	0.1250541841
93	0.1244750405
94	0.1239191651
95	0.123287951
96	0.1227412994
97	0.122211424
98	0.1217053361
99	0.1212285586
100	0.1206228754
101	0.1202571755
102	0.1197711869
103	0.1192476999
104	0.1186905097
105	0.1182823028
106	0.1178569752
107	0.1174629678
108	0.1169261426
109	0.1166654131
110	0.1164266945
111	0.1161190033
112	0.115723036
113	0.1153036324
114	0.1150105067
115	0.1145352975
116	0.1141124181
117	0.1135907003
118	0.1131619877
119	0.1129458782
120	0.1125572837
121	0.1122630231
122	0.1119522095
123	0.1116128385
